Обозначение;Заглавие на русском языке;Статус;Код ОКС
ГОСТ Р 56831-2015;Социальное обслуживание населения. Услуги по профилактике обстоятельств, обусловливающих нуждаемость граждан в социальном обслуживании;Действует;03.080.30
ГОСТ Р 56832-2020;Шрифт Брайля. Требования и размеры;Действует;11.180.10
ГОСТ Р 56833-2015;Сыворотка молочная деминерализованная. Технические условия;Действует;67.100.10
ГОСТ Р 56834-2015;Газ горючий природный. Определение содержания кислорода;Действует;75.060
ГОСТ Р 56835-2015;Газ природный сжиженный. Газ отпарной производства газа природного сжиженного. Определение компонентного состава методом газовой хроматографии;Действует;75.060
ГОСТ Р 56836-2023;Оценка соответствия. Правила сертификации цементов;Действует;03.120.20
ГОСТ Р 56837-2015;Информатизация здоровья. Менеджмент информационной безопасности удаленного технического обслуживания медицинских приборов и медицинских информационных систем. Часть 1. Требования и анализ рисков;Действует;35.240.80
ГОСТ Р 56838-2015;Информатизация здоровья. Менеджмент информационной безопасности удаленного технического обслуживания медицинских приборов и медицинских информационных систем. Часть 2. Внедрение системы менеджмента информационной безопасности;Действует;35.240.80
ГОСТ Р 56839-2015;Информатизация здоровья. Менеджмент рисков в информационно-вычислительных сетях с медицинскими приборами. Часть 2-1. Пошаговый менеджмент рисков медицинских информационно-вычислительных сетей. Практическое применение и примеры;Действует;"35.240.80;11.040.01"
ГОСТ Р 56840-2015;Информатизация здоровья. Менеджмент рисков в информационно-вычислительных сетях с медицинскими приборами. Часть 2-3. Руководство по беспроводным сетям;Действует;"35.240.80;11.040.01"
ГОСТ Р 56841-2015;Информатизация здоровья. Менеджмент рисков в информационно-вычислительных сетях с медицинскими приборами. Часть 2-4. Руководство по применению. Общее руководство для медицинских организаций;Действует;"35.240.80;11.040.01"
ГОСТ Р 56842-2015;Информатизация здоровья. Информационное взаимодействие с персональными медицинскими приборами. Часть 10101. Номенклатура;Действует;"35.240.80;01.040.35"
ГОСТ Р 56843-2015;Информатизация здоровья. Информационное взаимодействие с персональными медицинскими приборами. Часть 10201. Информационная модель предметной области;Действует;35.240.80
ГОСТ Р 56844-2015;Информатизация здоровья. Информационное взаимодействие с персональными медицинскими приборами. Часть 20101. Прикладные профили. Базовый стандарт;Действует;35.240.80
ГОСТ Р 56845-2019;Информатизация здоровья. Обмен данными с персональными медицинскими приборами. Часть 20601. Прикладной профиль. Оптимизированный протокол обмена;Действует;35.240.80
ГОСТ Р 56846-2015;Информатизация здоровья. Взаимодействие систем дистанционного обучения;Действует;35.240.80
ГОСТ Р 56847-2015;Процессы производства целлюлозы. Нормативы образования отходов;Действует;85.040
ГОСТ Р 56848-2015;Информатизация здоровья. Менеджмент знаний стандартов информатизации здоровья;Действует;35.240.80
ГОСТ Р 56849-2015;Информатизация здоровья. Руководство по стандартам безопасности медицинского программного обеспечения;Действует;35.240.80
ГОСТ Р 56850-2015;Информатизация здоровья. Менеджмент рисков в информационно-вычислительных сетях с медицинскими приборами. Часть 2-2. Руководство по выявлению и обмену информацией о защите медицинских приборов, рисках и управлении рисками;Действует;11.040.01
ГОСТ Р 56851-2016;Газ природный сжиженный. Метод расчета термодинамических свойств;Действует;75.060
ГОСТ Р 56852-2016;Освещение искусственное производственных помещений объектов железнодорожного транспорта. Нормы и методы контроля;Действует;91.160.10
ГОСТ Р 56854-2016;Прутки прессованные из алюминиевых сплавов для судостроения. Технические условия;Действует;77.150.10
ГОСТ Р 56855-2016;Профили прессованные из алюминиевых сплавов для судостроения. Технические условия;Действует;77.150.10
ГОСТ Р 56856-2016;Руды медесодержащие и полиметаллические и продукты их переработки. Методы измерений массовой доли меди;Действует;73.060.99
ГОСТ Р 56857-2016;Руды медесодержащие и полиметаллические и продукты их переработки. Методы измерений массовой доли диоксида кремния;Действует;73.060.99
ГОСТ Р 56858-2016;Руды медесодержащие и полиметаллические и продукты их переработки. Методы измерений массовой доли цинка;Действует;73.060.99
ГОСТ Р 56859-2022;Руды медесодержащие и полиметаллические и продукты их переработки. Методы измерений массовой доли золота и серебра;Действует;73.060.99
ГОСТ Р 56861-2016;Система управления жизненным циклом. Разработка концепции изделия и технологий. Общие положения;Действует;01.120
ГОСТ Р 56862-2016;Система управления жизненным циклом. Разработка концепции изделия и технологий. Термины и определения;Действует;01.020
ГОСТ Р 56863-2016;Система управления полным жизненным циклом изделий высокотехнологичных отраслей промышленности. Требования к организации работ по разработке электронных конструкторских документов на этапах изготовления и испытания опытного образца изделия и утверждения рабочей конструкторской документации для организации серийного производства. Общие положения;Действует;"03.100.40;13.020.60"
ГОСТ Р 56864-2016;Система управления полным жизненным циклом изделий высокотехнологичных отраслей промышленности. Требования к организации работ по разработке электронных конструкторских документов, представляемых заказчику на этапе эскизного проекта и технического проекта. Общие положения;Действует;"03.100.40;13.020.60"
ГОСТ Р 56866-2016;Углеводороды газообразные и газы углеводородные сжиженные. Определение общего содержания серы методом ультрафиолетовой флуоресценции;Действует;75.160.20
ГОСТ Р 56867-2016;Углеводороды С с индексом 2 - С с индексом 5. Определение содержания оксигенатов методом газовой хроматографии с использованием пламенно-ионизационного детектора;Действует;75.160.20
ГОСТ Р 56869-2016;Газы углеводородные сжиженные и смеси пропан-пропиленовые. Определение углеводородов газовой хроматографией;Действует;75.160.20
ГОСТ Р 56870-2016;Газы углеводородные сжиженные. Определение аммиака, воды и щелочи;Действует;75.160.20
ГОСТ Р 56871-2016;Углеводороды жидкие. Определение сероводорода и меркаптановой серы потенциометрическим титрованием;Действует;75.160.20
ГОСТ Р 56872-2016;Газ природный. Определение диоксида углерода с помощью индикаторных трубок;Действует;75.060
ГОСТ Р 56873-2016;Топлива моторные для двигателей с искровым зажиганием. Определение компонентного состава методом газовой хроматографии с использованием высокоэффективной капиллярной колонки длиной 100 м;Действует;75.160.20
ГОСТ Р 56874-2016;Система управления полным жизненным циклом изделий высокотехнологичных отраслей промышленности. Требования к организации работ по разработке электронных конструкторских документов на этапе разработки рабочей конструкторской документации для изготовления опытных образцов. Общие положения;Действует;"03.100.40;13.020.60"
ГОСТ Р 56875-2016;Информационные технологии. Системы безопасности комплексные и интегрированные. Типовые требования к архитектуре и технологиям интеллектуальных систем мониторинга для обеспечения безопасности предприятий и территорий;Действует;"35.100;35.200"
ГОСТ Р 56876.1-2016;Руководство по добросовестным практикам взаимоотношений между торговыми сетями и поставщиками потребительских товаров. Часть 1. Термины и определения;Действует;"03.100.10;03.100.20;01.020"
ГОСТ Р 56876.2-2016;Руководство по добросовестным практикам взаимоотношений между торговыми сетями и поставщиками потребительских товаров. Часть 2. Общие требования;Действует;03.100.20
ГОСТ Р 56877-2016;Руководство по оказанию правовой помощи потребителям. Общие требования;Действует;"03.120;03.080.30"
ГОСТ Р 56878-2016;Локомотивы, работающие на сжиженном природном газе. Требования к организации эксплуатации;Действует;45.060.10
ГОСТ Р 56879-2016;Древесина модифицированная. Заготовки для шпал и столбов ЛЭП. Технические условия;Действует;79.080
ГОСТ Р 56880-2016;Системы газораспределительные. Сети газораспределения. Порядок организации и проведения работ в охранных зонах сети газораспределения. Формы документов;Действует;91.140.40
ГОСТ Р 56881-2016;Биомасса. Определение зольности стандартным методом;Действует;75.160.10
ГОСТ Р 56882-2016;Биомасса. Определение нерастворимого в кислоте остатка стандартным методом;Действует;75.160.10
ГОСТ Р 56883-2016;Биомасса. Определение насыпной плотности стандартным методом;Действует;75.160.10
ГОСТ Р 56884-2016;Биомасса. Стандартная практика приготовления проб для компонентного анализа;Действует;75.160.10
ГОСТ Р 56885-2016;Биомасса. Определение общего количества твердых веществ стандартным методом;Действует;75.160.10
ГОСТ Р 56886-2016;Топливо древесное. Определение влаги стандартным методом;Действует;75.160.10
ГОСТ Р 56887-2016;Топливо древесное. Определение выхода летучих веществ стандартным методом;Действует;75.160.10
ГОСТ Р 56888-2016;Топливо древесное. Определение зольности стандартным методом;Действует;75.160.10
ГОСТ Р 56889-2016;Топливо древесное. Определение массовой доли влаги высушиванием;Действует;75.160.10
ГОСТ Р 56890-2016;Топливо древесное. Стандартные методы испытаний;Действует;75.160.10
ГОСТ Р 56891.1-2016;Сохранение объектов культурного наследия. Термины и определения. Часть 1. Общие понятия, состав и содержание научно-проектной документации;Действует;97.195
ГОСТ Р 56891.2-2016;Сохранение объектов культурного наследия. Термины и определения. Часть 2. Памятники истории и культуры;Действует;97.195
ГОСТ Р 56891.3-2016;Сохранение объектов культурного наследия. Термины и определения. Часть 3. Произведения искусства;Действует;97.195
ГОСТ Р 56891.4-2016;Сохранение объектов культурного наследия. Термины и определения. Часть 4. Исторические территории и историко-культурные ландшафты;Действует;97.195
ГОСТ Р 56891.5-2017;Сохранение объектов культурного наследия. Термины и определения. Часть 5. Деревянное зодчество;Действует;"97.195;01.040.97"
ГОСТ Р 56891.6-2017;Сохранение объектов культурного наследия. Термины и определения. Часть 6. Каменное зодчество;Действует;"97.195;01.040.97"
ГОСТ Р 56892-2016;Требования к организациям, осуществляющим аудит изготовителей медицинских изделий, в целях уполномочивания регулирующими органами;Действует;"03.120.10;11.040.01"
ГОСТ Р 56893-2016;Стерилизация медицинской продукции. Влажное тепло. Часть 2. Руководство по применению стандарта ИСО 17665-1;Действует;11.080.01
ГОСТ Р 56894-2016;Сводный комплект технической документации для демонстрации соответствия общим принципам обеспечения безопасности и основных функциональных характеристик медицинских изделий для диагностики in vitro;Действует;"03.120.10;11.040.01"
ГОСТ Р 56895-2016;Система менеджмента качества. Изделия медицинские. Система градации несоответствий для целей регулирования и обмена информацией;Действует;"03.120.10;11.040.01"
ГОСТ Р 56896-2016;Оборудование гимнастическое. Кони и козлы. Функциональные требования, требования безопасности и методы испытаний;Действует;97.220.30
ГОСТ Р 56897-2016;Оборудование для спортивных игр. Оборудование для бадминтона. Функциональные требования, требования безопасности и методы испытаний;Действует;97.220.30
ГОСТ Р 56898-2016;Оборудование для спортивных игр. Оборудование для тенниса. Функциональные требования, требования безопасности и методы испытаний;Действует;97.220.30
ГОСТ Р 56899-2022;Оборудование для спортивных игр. Столы для настольного тенниса. Требования и методы испытаний;Действует;97.220.30
ГОСТ Р 56900-2020;Тренажеры стационарные. Тренажеры для развития силы. Требования безопасности и методы испытания;Действует;97.220.30
ГОСТ Р 56901-2020;Тренажеры стационарные. Тренажеры для нижней и верхней частей тела. Требования безопасности и методы испытания;Действует;97.220.30
ГОСТ Р 56902-2021;Тренажеры стационарные. Тренажеры эллиптические. Требования безопасности и методы испытания;Действует;97.220.30
ГОСТ Р 56903-2022;Тренажеры стационарные. Оборудование для силовых тренировок. Требования безопасности и методы испытаний;Действует;97.220.30
ГОСТ Р 56904-2016;Ленты конвейерные резинотросовые для горнодобывающей промышленности. Общие технические условия;Действует;53.040.20
ГОСТ Р 56905-2016;Проведение обмерных и инженерно-геодезических работ на объектах культурного наследия. Общие требования;Действует;97.195
ГОСТ Р 56906-2016;Бережливое производство. Организация рабочего пространства (5S);Действует;03.120.10
ГОСТ Р 56907-2016;Бережливое производство. Визуализация;Действует;03.120.10
ГОСТ Р 56908-2016;Бережливое производство. Стандартизация работы;Действует;03.120.10
ГОСТ Р 56909-2016;Нетрадиционные технологии. Геотермальная энергетика. Термины и определения;Действует;01.040
ГОСТ Р 56910-2016;Материалы кровельные и гидроизоляционные гибкие полимерные (термопластичные и эластомерные). Метод определения стойкости к воздействию жидких химических сред, содержащих воду;Действует;91.100.50
ГОСТ Р 56911-2016;Материалы кровельные и гидроизоляционные гибкие полимерные (термопластичные и эластомерные). Метод определения прочности на сдвиг сварного и клеевого соединений;Действует;91.100.50
ГОСТ Р 56912-2016;Корма зеленые. Технические условия;Действует;65.120
ГОСТ Р 56913-2016;Лизин кормовой. Общие технические условия;Действует;65.120
ГОСТ Р 56914-2016;Информационные технологии. Методы испытаний на соответствие устройств радиочастотной идентификации. Часть 3. Методы испытаний радиоинтерфейса для связи на частоте 13,56 МГц;Действует;35.040
ГОСТ Р 56915-2016;Корма для непродуктивных животных функциональные. Информация об отличительной кормовой ценности и эффективности;Действует;65.120
ГОСТ Р 56916-2016;Газ горючий природный. Определение содержания водяных паров методом Карла Фишера;Действует;75.060
ГОСТ Р 56917-2016;Измерение и верификация энергетической эффективности. Определение экономии энергетических ресурсов при эксплуатации отдельных видов оборудования (метод изоляции зоны модернизации);Действует;91.040.01
ГОСТ Р 56918-2016;Материалы текстильные. Методы испытаний нетканых материалов. Часть 15. Определение воздухопроницаемости;Действует;59.080.30
ГОСТ Р 56919-2016;Организация испытаний ПЦР-наборов, используемых для идентификации целевых таксонов микрофлоры, растений и генетически модифицированных организмов. Требования к качеству, безопасности, транспортированию и хранению;Действует;11.100
ГОСТ Р 56920-2016;Системная и программная инженерия. Тестирование программного обеспечения. Часть 1. Понятия и определения;Действует;35.080
ГОСТ Р 56920-2024;Системная и программная инженерия. Тестирование программного обеспечения. Общие положения;Принят;35.080
ГОСТ Р 56921-2016;Системная и программная инженерия. Тестирование программного обеспечения. Часть 2. Процессы тестирования;Действует;35.080
ГОСТ Р 56922-2016;Системная и программная инженерия. Тестирование программного обеспечения. Часть 3. Документация тестирования;Действует;35.080
ГОСТ Р 56923-2016;Информационные технологии. Системная и программная инженерия. Управление жизненным циклом. Часть 3. Руководство по применению ИСО/МЭК 12207 (Процессы жизненного цикла программных средств);Действует;35.080
ГОСТ Р 56924-2016;Стоматология. Материалы полимерные восстановительные;Действует;11.060.10
ГОСТ Р 56925-2016;Дороги автомобильные и аэродромы. Методы измерения неровностей оснований и покрытий;Действует;17.040.30
ГОСТ Р 56926-2016;Конструкции оконные и балконные различного функционального назначения для жилых зданий. Общие технические условия;Действует;91.060.50
ГОСТ Р 56927-2016;Трубы из ориентированного непластифицированного поливинилхлорида для водоснабжения. Технические условия;Действует;"23.040.01;91.140.60"
ГОСТ Р 56928-2016;Животные непродуктивные. Термины и определения;Действует;03.080.30
ГОСТ Р 56929-2016;Выбросы загрязняющих веществ в атмосферу. Исследование фракционного состава пыли оптическим методом при нормировании качества атмосферного воздуха;Действует;"13.020.01;13.040.01;13.040.50"
ГОСТ Р 56930-2016;Руководство по применению критериев классификации опасности химической продукции по воздействию на организм. Острая токсичность при вдыхании;Действует;13.100
ГОСТ Р 56931-2016;Продукты пищевые и продовольственное сырье. Вольтамперометрический метод определения содержания ртути;Действует;67.050
ГОСТ Р 56932-2016;Руководство по применению критериев классификации опасности химической продукции по воздействию на организм. Острая токсичность при попадании на кожу;Действует;13.100
ГОСТ Р 56933-2016;Оценка соответствия. Порядок обязательного подтверждения соответствия продукции требованиям технического регламента Таможенного союза «О безопасности мяса и мясной продукции»;Действует;03.120.10
ГОСТ Р 56934-2016;Оценка соответствия. Порядок обязательного подтверждения соответствия продукции требованиям технического регламента Таможенного союза «О безопасности молока и молочной продукции»;Действует;03.120.10
ГОСТ Р 56936-2016;Производственные услуги. Системы безопасности технические. Этапы жизненного цикла систем. Общие требования;Действует;"03.080.10;13.220;13.310;13.320"
ГОСТ Р 56937-2016;Оценка соответствия. Правила проведения добровольной сертификации персонала;Действует;03.120.20
ГОСТ Р 56938-2016;Защита информации. Защита информации при использовании технологий виртуализации. Общие положения;Действует;35.020
ГОСТ Р 56939-2016;Защита информации. Разработка безопасного программного обеспечения. Общие требования;Действует;35.020
ГОСТ Р 56940-2016;Регистраторы температуры, используемые при транспортировании, хранении и распределении охлажденной, замороженной и глубокой/быстрой заморозки пищевой продукции и мороженого. Испытания, эксплуатационные характеристики, пригодность к применению;Действует;"01.040.17;17.200.20;67.260"
ГОСТ Р 56941-2016;Регистраторы температуры и термометры, используемые при транспортировании, хранении и распределении охлажденной, замороженной и глубокой/быстрой заморозки пищевой продукции и мороженого. Периодическая верификация;Действует;"17.200.20;67.260"
ГОСТ Р 56942-2016;Автоматизированные измерительные системы контроля и учета тепловой энергии. Общие технические условия;Действует;"17.200.01;25.040.01"
ГОСТ Р 56943-2016;Лифты. Общие требования безопасности к устройству и установке. Лифты для транспортирования грузов;Действует;91.140.90
ГОСТ Р 56944-2016;Краны грузоподъемные. Пути рельсовые крановые надземные. Общие технические условия;Действует;53.020.20
ГОСТ Р 56945-2016;Обувь. Требования к характеристикам деталей обуви. Верх обуви;Действует;61.060
ГОСТ Р 56946-2016;Нефтяная и газовая промышленность. Материалы буровых растворов. Технические условия и испытания;Действует;75.180.10
ГОСТ Р 56947-2016;Информационные технологии. Интерфейс интеллектуального преобразователя для датчиков и исполнительных устройств. Общие функции, протоколы взаимодействия и форматы электронной таблицы данных преобразователя (ЭТДП);Действует;35.040
ГОСТ Р 56948-2016;Телевидение вещательное цифровое. Алгоритмы скремблирования контента служб DVB-IPTV, использующих транспортные потоки MPEG2. Основные параметры;Действует;33.170
ГОСТ Р 56949-2016;Телевидение вещательное цифровое. Домашняя локальная цифровая сеть. Основные параметры;Действует;33.170
ГОСТ Р 56950-2016;Телевидение вещательное цифровое. Расширенная спецификация общего интерфейса в системах ограничения доступа CI Plus™. Основные параметры;Действует;33.170
ГОСТ Р 56951-2016;Телевидение вещательное цифровое. Сигнализация и доставка интерактивных приложений и услуг в гибридных широковещательных/широкополосных средах. Основные параметры;Действует;33.170
ГОСТ Р 56952-2016;Телевидение вещательное цифровое. Система TV-Anytime. Передача метаданных по двунаправленной сети. Основные параметры;Действует;33.170
ГОСТ Р 56953-2016;Телевидение вещательное цифровое. Системы субтитров. Основные параметры;Действует;33.170
ГОСТ Р 56954-2016;Телевидение вещательное цифровое. Спецификация транспортировки синхронизированных вспомогательных данных в транспортных потоках DVB;Действует;33.170
ГОСТ Р 56955-2016;Телевидение вещательное цифровое. Структура кадра, канальное кодирование и модуляция в системе идентификации несущей (DVB-CID) для спутниковой передачи. Основные параметры;Действует;33.170
ГОСТ Р 56956-2016;Телекоммуникации. Электропитание оборудования сети доступа;Действует;33.020
ГОСТ Р 56957-2016;Руководство по применению критериев классификации опасности химической продукции по воздействию на организм. Острая токсичность при проглатывании;Действует;13.100
ГОСТ Р 56958-2016;Руководство по применению критериев классификации опасности химической продукции по воздействию на организм. Поражение/раздражение кожи;Действует;13.100
ГОСТ Р 56959-2016;Руководство по применению критериев классификации опасности химической продукции по воздействию на организм. Серьезные повреждения/раздражение глаз;Действует;13.100
ГОСТ Р 56961-2016;Средства спасания экипажей инженерных сооружений, эксплуатируемых на акваториях. Средства эвакуации. Общие технические условия;Действует;47.080
ГОСТ Р 56962-2016;Рыба, нерыбные объекты и продукция из них. Метод определения остаточного содержания трифенилметановых красителей с помощью сверхвысокоэффективной жидкостной хроматографии с времяпролетным масс-спектрометрическим детектором высокого разрешения;Действует;67.120.30
ГОСТ Р 56963-2016;Локомотивы. Требования к лакокрасочным покрытиям и противокоррозионной защите и методы их контроля;Действует;45.020
ГОСТ Р 56964-2016;Обувь и детали обуви. Методы испытаний для оценки антибактериальной активности;Действует;61.060
ГОСТ Р 56965-2016;Обувь. Требования к характеристикам деталей обуви. Подошвы;Действует;61.060
ГОСТ Р 56966-2016;Обувь. Требования к характеристикам деталей обуви. Геленки;Действует;61.060
ГОСТ Р 56967-2016;Обувь. Требования к характеристикам деталей обуви. Подкладка и вкладные стельки;Действует;61.060
ГОСТ Р 56968-2016;Уксус столовый. Технические условия;Действует;67.220.20
ГОСТ Р 56969-2016;Единая энергетическая система и изолированно работающие энергосистемы. Оперативно-диспетчерское управление. Обеспечение согласованной работы централизованных систем автоматического регулирования частоты и перетоков активной мощности и автоматики управления активной мощностью гидравлических электростанций. Нормы и требования;Действует;"27.010;27.140"
ГОСТ Р 56970-2016;Конструкции несущие базовые радиоэлектронных средств. Управление температурными режимами шкафов, соответствующих стандартам серий IEC 60297 и IEC 60917. Часть 1. Руководство по проектированию. Размеры интерфейса и положения по термоэлектрическим системам охлаждения (эффект Пельтье);Действует;31.240
ГОСТ Р 56971-2016;Конструкции несущие базовые радиоэлектронных средств. Управление температурными режимами шкафов, соответствующих стандартам серий IEC 60297 и IEC 60917. Часть 3. Руководство по проектированию. Метод оценки термоэлектрических систем охлаждения (эффект Пельтье);Действует;31.240
ГОСТ Р 56972-2016;Конструкции несущие базовые радиоэлектронных средств. Управление температурными режимами шкафов, соответствующих стандартам серий IEC 60297 и IEC 60917. Часть 2. Руководство по проектированию. Метод определения конструкции принудительного воздушного охлаждения;Действует;31.240
ГОСТ Р 56973-2016;Графитированные электроды для электродуговых печей. Эксплуатация;Действует;25.180.10
ГОСТ Р 56974-2016;Обувь. Требования к характеристикам деталей обуви. Основные стельки;Действует;61.060
ГОСТ Р 56975-2016;Композиты полимерные. Показатели внешнего вида изделий из многослойных стеклокомпозитов;Действует;83.120
ГОСТ Р 56976-2016;Средства зоогигиенические для полости рта непродуктивных животных жидкие. Общие технические условия;Действует;"11.120.10;71.100.70"
ГОСТ Р 56977-2016;Композиты полимерные. Классификация типов разрушения клеевых соединений;Действует;83.120
ГОСТ Р 56978-2016;Батареи фотоэлектрические. Технические условия;Действует;27.160
ГОСТ Р 56979-2016;Модули фотоэлектрические. Испытания на стойкость к воздействию аммиака;Действует;27.160
ГОСТ Р 56980.1-2022;Модули фотоэлектрические. Оценка соответствия техническим требованиям. Часть 1. Общие требования;Действует;27.160
ГОСТ Р 56980.1.3-2022;Модули фотоэлектрические. Оценка соответствия техническим требованиям. Часть 1.3. Специальные требования к испытаниям тонкопленочных фотоэлектрических модулей на основе аморфного кремния;Действует;27.160
ГОСТ Р 56980.1.4-2022;Модули фотоэлектрические. Оценка соответствия техническим требованиям. Часть 1.4. Специальные требования к испытаниям тонкопленочных фотоэлектрических модулей на основе Cu(In, Ga)(S, Se)2;Действует;27.160
ГОСТ Р 56980.2-2022;Модули фотоэлектрические. Оценка соответствия техническим требованиям. Часть 2. Методы испытаний;Действует;27.160
ГОСТ Р 56981-2016;Модули фотоэлектрические. Коммутационные коробки. Требования безопасности и испытания;Действует;27.160
ГОСТ Р 56982-2016;Системы фотоэлектрические. Контроллеры заряда. Рабочие характеристики, функционирование и испытания;Действует;27.160
ГОСТ Р 56983-2016;Устройства фотоэлектрические с концентраторами. Методы испытаний;Действует;27.160
ГОСТ Р 56984-2016;Безопасность аттракционов. Аэролифты. Оболочка. Требования безопасности. Методы испытаний;Действует;97.200.40
ГОСТ Р 56985-2016;Безопасность аттракционов. Картинговые горки. Общие требования безопасности;Действует;97.200.40
ГОСТ Р 56986-2023;Веревочные парки. Общие технические условия;Действует;97.220.99
ГОСТ Р 56987-2016;Безопасность устройств для развлечений. Горки зимние. Требования безопасности при эксплуатации;Действует;97.200.40
ГОСТ Р 56988-2016;Оборудование надувное. Изделия швейные технические. Оболочки. Требования к производству;Действует;97.200.40
ГОСТ Р 56989-2016;Качество воды. Оценка биоразлагаемости органических соединений в водной среде. Выбор метода оценки;Действует;13.060.70
ГОСТ Р 56990-2016;Химические дезинфицирующие средства и антисептики. Дезинфицирующие средства. Критерии и показатели эффективности;Действует;11.080
ГОСТ Р 56991-2016;Дезинфектология и дезинфекционная деятельность. Химические дезинфицирующие средства и антисептики. Метод определения перекиси водорода;Действует;11.080
